id, iso_4217_code, description, symbol, thousands_separator, decimal_separator, decimal_places, symbol_position, created_at, updated_at, created_by, updated_by
'86', 'TRY', 'LIRA', '₺', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'87', 'LSL', 'LOTI', 'L', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'88', 'AZN', 'MANAT', '₼', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'89', 'TMT', 'MANAT', 'm', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'90', 'BAM', 'MARKA', 'KM', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'91', 'MZN', 'METICAL', 'MT', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'92', 'NGN', 'NAIRA', '₦', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'93', 'ERN', 'NAKFA', 'Nfk', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'94', 'BTN', 'NGULTRUM', 'Nu.', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'95', 'MRU', 'OUGUIYA', 'UM', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'96', 'TOP', 'PA\'ANGA', 'T$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'97', 'MOP', 'PATACA', 'P', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'98', 'ARS', 'PESO', '$', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'99', 'CLP', 'PESO', '$', '.', ',', '0', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'100', 'COP', 'PESO', '$', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'101', 'CUP', 'PESO', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'102', 'DOP', 'PESO', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'103', 'MXN', 'PESO', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'104', 'PHP', 'PESO', '₱', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'105', 'UYU', 'PESO', '$', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'106', 'EGP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'107', 'FKP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'108', 'GBP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'109', 'GIP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'110', 'LBP', 'POUND', 'ل.ل', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'111', 'SDG', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'112', 'SHP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'113', 'SSP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'114', 'SYP', 'POUND', '£', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'115', 'BWP', 'PULA', 'P', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'116', 'GTQ', 'QUETZAL', 'Q', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'117', 'ZAR', 'RAND', 'R', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'118', 'BRL', 'REAL', 'R$', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'119', 'IRR', 'RIAL', '﷼', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'120', 'OMR', 'RIAL', 'ر.ع.', ',', '.', '3', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'121', 'QAR', 'RIAL', 'ر.ق', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'122', 'SAR', 'RIAL', 'ر.س', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'123', 'YER', 'RIAL', '﷼', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'124', 'KHR', 'RIELS', '៛', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'125', 'MYR', 'RINGGIT', 'RM', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'126', 'RUB', 'RUBLE', '₽', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'127', 'MVR', 'RUFIYAA', '.ރ', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'128', 'INR', 'RUPEE', '₹', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'129', 'LKR', 'RUPEE', 'රු', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'130', 'MUR', 'RUPEE', '₨', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'131', 'NPR', 'RUPEE', 'रू', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'132', 'PKR', 'RUPEE', '₨', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'133', 'SCR', 'RUPEE', '₨', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'134', 'IDR', 'RUPIAH', 'Rp', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'135', 'ILS', 'SHEKEL', '₪', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'136', 'KES', 'SHILLING', 'KSh', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'137', 'SOS', 'SHILLING', 'Sh.So.', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'138', 'TZS', 'SHILLING', 'TSh', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'139', 'UGX', 'SHILLING', 'USh', ',', '.', '0', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'140', 'PEN', 'SOL', 'S/.', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'141', 'KGS', 'SOM', 'сом', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'142', 'UZS', 'SOM', 'so m', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'143', 'TJS', 'SOMONI', 'SM', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'144', 'BDT', 'TAKA', '৳', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'145', 'WST', 'TALA', 'T', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'146', 'KZT', 'TENGE', '₸', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'147', 'MNT', 'TUGRIK', '₮', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'148', 'VUV', 'VATU', 'VT', ',', '.', '0', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'149', 'KPW', 'WON', '₩', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'150', 'KRW', 'WON', '₩', ',', '.', '0', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'151', 'JPY', 'YEN', '¥', ',', '.', '0', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'152', 'CNY', 'YUAN RENMINBI', '¥', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'153', 'ZWG', 'ZIMBABWE GOLD', 'ZiG', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'154', 'PLN', 'ZLOTY', 'zł', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'999999999', '999', '999999999', '999', '-', '-', '0', 'NO APLICA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
